TRADING CODE,Date,OPEN,HIGH,LOW,CLOSE,VOLUME
ISLAMIBANK,10/1/1999,2050,2050,2010,2029.25,0
ISLAMIBANK,11/1/1999,2005,2005,2005,2005,0
ISLAMIBANK,12/1/1999,2007,2007,2006,2006.5,0
ISLAMIBANK,13-01-1999,2006,2007,2006,2006,0
ISLAMIBANK,14-01-1999,2005,2006,2000,2001.75,0
ISLAMIBANK,23-01-1999,2005,2050,2005,2006,0
ISLAMIBANK,24-01-1999,2007,2010,2007,2007.75,0
ISLAMIBANK,25-01-1999,2010,2020,2003,2010,0
ISLAMIBANK,27-01-1999,2009,2014,2009,2009.25,69
ISLAMIBANK,28-01-1999,2015,2015,2010,2013.25,29
ISLAMIBANK,30-01-1999,2012,2012,2009,2010.25,27
ISLAMIBANK,31-01-1999,2000,2010,2000,2006,167
ISLAMIBANK,1/2/1999,2009,2009,2003,2005,26
ISLAMIBANK,3/2/1999,2000,2000,2000,2000,5
ISLAMIBANK,4/2/1999,2000,2000,2000,2000,31
ISLAMIBANK,6/2/1999,2000,2000,2000,2000,7
ISLAMIBANK,7/2/1999,1990,1990,1980,1986.5,9
ISLAMIBANK,8/2/1999,1985,1990,1985,1985.25,23
ISLAMIBANK,13-02-1999,1985,1985,1985,1985,59
ISLAMIBANK,14-02-1999,2000,2000,2000,2000,1
ISLAMIBANK,15-02-1999,2000,2000,2000,2000,5
ISLAMIBANK,16-02-1999,1975,2000,1975,1995.25,11
ISLAMIBANK,18-02-1999,1985,2000,1982,1985.5,12
ISLAMIBANK,20-02-1999,1995,2000,1995,1999.5,11
ISLAMIBANK,22-02-1999,2000,2005,1999,2000.25,32
ISLAMIBANK,27-02-1999,2005,2005,2000,2003,27
ISLAMIBANK,28-02-1999,2000,2000,2000,2000,2
ISLAMIBANK,1/3/1999,2010,2010,2000,2002.25,20
ISLAMIBANK,2/3/1999,2001,2007,2000,2002.25,33
ISLAMIBANK,3/3/1999,1955,2000,1955,1984.25,31
ISLAMIBANK,4/3/1999,1990,1990,1986,1986.5,6
ISLAMIBANK,6/3/1999,1984,1990,1984,1985,35
ISLAMIBANK,8/3/1999,2000,2000,1991,1995.5,26
ISLAMIBANK,9/3/1999,2000,2005,2000,2001.5,24
ISLAMIBANK,10/3/1999,2001.5,2002,1995,2000.5,56
ISLAMIBANK,11/3/1999,1999,2001,1999,2000.5,50
ISLAMIBANK,13-03-1999,2000,2000,1996,1998,12
ISLAMIBANK,14-03-1999,1996,1996,1995,1995.75,12
ISLAMIBANK,15-03-1999,1995,1995,1995,1995,8
ISLAMIBANK,16-03-1999,1990,1990,1950,1970,2
ISLAMIBANK,18-03-1999,1975,1975,1961,1968.25,15
ISLAMIBANK,20-03-1999,1999,2000,1999,1999.25,14
ISLAMIBANK,21-03-1999,1995,1995,1995,1995,11
ISLAMIBANK,22-03-1999,1985,1995,1985,1990,6
ISLAMIBANK,23-03-1999,1997,2000,1997,1999,3
ISLAMIBANK,24-03-1999,1998,1998,1990,1994.75,54
ISLAMIBANK,25-03-1999,1990,2000,1990,1997.75,19
ISLAMIBANK,1/4/1999,1993,1993,1993,1993,10
ISLAMIBANK,4/4/1999,1990,1995,1990,1994.5,15
ISLAMIBANK,5/4/1999,1981,1997,1980,1990.75,20
ISLAMIBANK,6/4/1999,2050,2050,2000,2006.5,24
ISLAMIBANK,8/4/1999,1996,1998,1996,1997.5,6
ISLAMIBANK,10/4/1999,1999,1999,1999,1999,6
ISLAMIBANK,11/4/1999,2000,2000,1975,1996.25,19
ISLAMIBANK,12/4/1999,1980,1980,1980,1980,4
ISLAMIBANK,13-04-1999,1990,2000,1985,1995,22
ISLAMIBANK,15-04-1999,1972,1990,1915,1957,65
ISLAMIBANK,17-04-1999,1921,1930,1916,1924,7
ISLAMIBANK,19-04-1999,1970,1970,1890,1909.75,28
ISLAMIBANK,20-04-1999,1895,1895,1890,1893.75,17
ISLAMIBANK,21-04-1999,1893.75,1893.75,1893.75,1893.75,2
ISLAMIBANK,22-04-1999,1893,1893,1893,1893,5
ISLAMIBANK,24-04-1999,1950,1950,1950,1950,11
ISLAMIBANK,25-04-1999,1916,1916,1905,1911,11
ISLAMIBANK,26-04-1999,1915,1920,1912,1915.75,11
ISLAMIBANK,28-04-1999,1930,1930,1920,1929.25,17
ISLAMIBANK,2/5/1999,1920,1920,1920,1920,10
ISLAMIBANK,3/5/1999,1920,1920,1920,1920,12
ISLAMIBANK,4/5/1999,1900,1900,1894,1899.25,11
ISLAMIBANK,5/5/1999,1900,1910,1895,1902.5,24
ISLAMIBANK,6/5/1999,1910,1910,1910,1910,4
ISLAMIBANK,8/5/1999,1945,1945,1921,1929.5,8
ISLAMIBANK,9/5/1999,1950,1965,1950,1951.5,11
ISLAMIBANK,10/5/1999,1960,1960,1960,1960,3
ISLAMIBANK,12/5/1999,1960,1960,1950,1958.75,26
ISLAMIBANK,13-05-1999,1961.5,1970,1961.5,1965.75,10
ISLAMIBANK,15-05-1999,1990,1990,1990,1990,3
ISLAMIBANK,16-05-1999,1990,1999,1990,1991,8
ISLAMIBANK,17-05-1999,2039,2040,2011,2030.5,25
ISLAMIBANK,18-05-1999,2060,2110,2060,2077.25,21
ISLAMIBANK,19-05-1999,2100,2180,2100,2135.75,13
ISLAMIBANK,20-05-1999,2100,2100,2065,2083.75,55
ISLAMIBANK,22-05-1999,2150,2150,2100,2107,14
ISLAMIBANK,23-05-1999,2135,2135,2080,2105.5,8
ISLAMIBANK,24-05-1999,2120,2120,2100,2105,8
ISLAMIBANK,25-05-1999,2080,2100,2080,2095.75,47
ISLAMIBANK,26-05-1999,2098,2098,2098,2098,3
ISLAMIBANK,27-05-1999,2100,2100,2080,2090,20
ISLAMIBANK,29-05-1999,2100,2150,2085,2096.5,127
ISLAMIBANK,30-05-1999,2096,2111,2095,2103.5,115
ISLAMIBANK,31-05-1999,2101,2105,2095,2101,154
ISLAMIBANK,1/6/1999,2100,2105,2100,2101,59
ISLAMIBANK,2/6/1999,2100,2100,2100,2100,44
ISLAMIBANK,3/6/1999,2125,2125,2108,2115,42
ISLAMIBANK,5/6/1999,2120,2120,2109,2113.25,37
ISLAMIBANK,6/6/1999,2108,2115,2106,2109.75,21
ISLAMIBANK,7/6/1999,2111,2111,2110,2110.5,13
ISLAMIBANK,8/6/1999,2114,2115,2100,2104,149
ISLAMIBANK,9/6/1999,2065,2079,2060,2062.5,33
ISLAMIBANK,12/6/1999,2095,2095,2088,2090,10
ISLAMIBANK,14-06-1999,2075,2095,2075,2087.5,18
ISLAMIBANK,15-06-1999,2090,2090,2087,2089,12
ISLAMIBANK,16-06-1999,2089,2089,2075,2087.75,122
ISLAMIBANK,17-06-1999,2087,2087,2085,2085.5,13
ISLAMIBANK,19-06-1999,2088,2088,2088,2088,8
ISLAMIBANK,20-06-1999,2080,2085,2080,2083.5,11
ISLAMIBANK,23-06-1999,2085,2085,2085,2085,5
ISLAMIBANK,24-06-1999,2082,2082,2075,2079,21
ISLAMIBANK,28-06-1999,2080,2099,2079,2084.75,15
ISLAMIBANK,29-06-1999,2100,2189,2055,2135.25,69
ISLAMIBANK,30-06-1999,2240,2300,2165,2224.25,73
ISLAMIBANK,3/7/1999,2251,2252,2110,2120.5,74
ISLAMIBANK,4/7/1999,2065,2065,2055,2061,13
ISLAMIBANK,5/7/1999,2080,2080,2080,2080,5
ISLAMIBANK,6/7/1999,2060,2095,2060,2084.5,36
ISLAMIBANK,7/7/1999,2125,2125,2110,2117.5,8
ISLAMIBANK,10/7/1999,2105,2105,2095,2097.25,35
